ID;Vendedor;Ciudad;Producto;Precio;Fecha;Forma de pago
1;Maca Prabo;Cali;M¢vil;250;16/09/2024;Cr‚dito
2;Maca Prabo;Cali;Tablet;350;12/02/2024;Contado
3;Merk Adona;Palmira;PS4;400;6/09/2024;Contado
4;Carl Refur;Buenaventura;Tablet;350;18/06/2024;Cr‚dito
5;Merk Adona;Palmira;Anti-Virus;130;8/08/2024;Contado
6;Mikal Campo;Cartago;Auriculares;25;22/02/2024;Contado
7;Maca Prabo;Cali;PS4;400;12/05/2024;Contado
8;Mikal Campo;Cartago;PC;600;27/12/2024;Cr‚dito
9;Mikal Campo;Cartago;Anti-Virus;130;9/01/2024;Contado
10;Mikal Campo;Cartago;PS4;400;7/08/2024;Cr‚dito
11;Hasan Chezro Mero;Buenaventura;Anti-Virus;130;8/02/2024;Contado
12;Merk Adona;Palmira;Auriculares;25;7/02/2024;Contado
13;Mikal Campo;Cartago;PC;600;24/12/2024;Cr‚dito
14;Carl Refur;Buenaventura;PS4;400;15/02/2024;Cr‚dito
15;Hasan Chezro Mero;Buenaventura;PS4;400;24/11/2024;Cr‚dito
16;Carl Refur;Buenaventura;PS4;400;3/04/2024;Cr‚dito
17;Hasan Chezro Mero;Buenaventura;Auriculares;25;23/01/2024;Cr‚dito
18;Merk Adona;Palmira;Anti-Virus;130;24/09/2024;Contado
19;Carl Refur;Buenaventura;M¢vil;250;22/04/2024;Cr‚dito
20;Hasan Chezro Mero;Buenaventura;M¢vil;250;6/09/2024;Cr‚dito
21;Hasan Chezro Mero;Buenaventura;PC;600;13/01/2024;Cr‚dito
22;Merk Adona;Palmira;PS4;400;2/07/2024;Cr‚dito
23;Mikal Campo;Tulu ;Auriculares;25;3/11/2024;Contado
24;Merk Adona;Cali;Auriculares;25;31/08/2024;Cr‚dito
25;Merk Adona;Palmira;PS4;400;24/06/2024;Cr‚dito
26;Hasan Chezro Mero;Buenaventura;Anti-Virus;130;19/03/2024;Cr‚dito
27;Merk Adona;Palmira;Anti-Virus;130;2/10/2024;Cr‚dito
28;Hasan Chezro Mero;Buenaventura;M¢vil;250;15/03/2024;Cr‚dito
29;Merk Adona;Palmira;M¢vil;250;27/10/2024;Contado
30;Mikal Campo;Tulu ;Anti-Virus;130;22/01/2024;Cr‚dito
31;Mikal Campo;Tulu ;PC;600;15/11/2024;Cr‚dito
32;Carl Refur;Buenaventura;Anti-Virus;130;5/07/2024;Cr‚dito
33;Carl Refur;Buenaventura;Tablet;350;16/09/2024;Cr‚dito
34;Maca Prabo;Cali;Anti-Virus;130;4/06/2024;Contado
